SampleID	SeqDepth
BFV068-01-A_BFV068-01-A	3026
BKX008-01-A_BKX008-01-A	3415
BLB924-01-A_BLB924-01-A	1057
BMR330-01-A_BMR330-01-A	1644
BYJ529-01-A_BYJ529-01-A	10548
CCY708-01-A_CCY708-01-A	1693
CHQ176-01-A_CHQ176-01-A	6319
CLC466-01-A_CLC466-01-A	8387
CMB242-01-A_CMB242-01-A	3109
CMN642-01-A_CMN642-01-A	4162
CQV074-01-A_CQV074-01-A	9485
CVS623-01-A_CVS623-01-A	4712
CXV763-01-A_CXV763-01-A	390
CZY979-01-A_CZY979-01-A	1
DKR276-01-A_DKR276-01-A	5191
DKY839-01-A_DKY839-01-A	4528
DLB658-01-A_DLB658-01-A	5268
DPS889-01-A_DPS889-01-A	255
DPY215-01-A_DPY215-01-A	4219
DTJ082-01-A_DTJ082-01-A	5821
FDT437-01-A_FDT437-01-A	42
FFV529-01-A_FFV529-01-A	9498
GCW695-01-A_GCW695-01-A	11188
GDC105-01-A_GDC105-01-A	6263
GHK467-01-A_GHK467-01-A	439
GLN516-01-A_GLN516-01-A	1751
HGD105-01-A_HGD105-01-A	1208
HKW390-01-A_HKW390-01-A	4604
JBY966-01-A_JBY966-01-A	3824
JDR646-01-A_JDR646-01-A	2771
JGG758-01-A_JGG758-01-A	4202
JRK807-01-A_JRK807-01-A	5070
JVM187-01-A_JVM187-01-A	6528
JVT235-01-A_JVT235-01-A	2990
JWX817-01-A_JWX817-01-A	1154
KCS362-01-A_KCS362-01-A	5401
KFC204-02-A_KFC204-02-A	1595
KGS148-01-A_KGS148-01-A	32
KMS973-01-A_KMS973-01-A	7604
KPH963-01-A_KPH963-01-A	3046
KQX123-01-A_KQX123-01-A	8533
LHM621-01-A_LHM621-01-A	46
LTF403-01-A_LTF403-01-A	1308
MTS914-01-A_MTS914-01-A	5035
MWX328-01-A_MWX328-01-A	3449
MYH241-01-A_MYH241-01-A	3654
MZG246-01-A_MZG246-01-A	3048
NDB894-01-A_NDB894-01-A	2378
NDD999-01-A_NDD999-01-A	4362
NDQ288-01-A_NDQ288-01-A	1174
NDT895-01-A_NDT895-01-A	511
NKR062-01-A_NKR062-01-A	1885
NNN707-01-A_NNN707-01-A	3550
NTY571-01-A_NTY571-01-A	2852
NVB610-01-A_NVB610-01-A	2446
NVP680-01-A_NVP680-01-A	24
PBY010-01-A_PBY010-01-A	7750
PHF487-01-A_PHF487-01-A	6512
PPZ658-01-A_PPZ658-01-A	5109
PXP865-01-A_PXP865-01-A	7059
PXT989-01-A_PXT989-01-A	6630
QMG767-01-A_QMG767-01-A	1851
QTR076-01-A_QTR076-01-A	949
RBF939-01-A_RBF939-01-A	24
RFZ564-01-A_RFZ564-01-A	13836
RQS983-01-A_RQS983-01-A	5567
RSD146-01-A_RSD146-01-A	2858
RSH935-01-A_RSH935-01-A	615
SGW547-01-A_SGW547-01-A	2648
SNF240-01-A_SNF240-01-A	5144
SPS095-01-A_SPS095-01-A	9060
SQJ477-01-A_SQJ477-01-A	1233
SWK130-01-A_SWK130-01-A	1824
SYN111-01-A_SYN111-01-A	3510
TBV780-01-A_TBV780-01-A	2761
TDQ071-01-A_TDQ071-01-A	4665
TJM985-01-A_TJM985-01-A	7968
TNQ971-01-A_TNQ971-01-A	5176
TQP835-01-A_TQP835-01-A	69
TWB676-01-A_TWB676-01-A	272
VTL484-01-A_VTL484-01-A	3036
VVV916-01-A_VVV916-01-A	280
VZM392-01-A_VZM392-01-A	11
WGB900-01-A_WGB900-01-A	1025
WGX986-01-A_WGX986-01-A	8176
WHC203-01-A_WHC203-01-A	13334
WJH346-01-A_WJH346-01-A	125
WMS498-01-A_WMS498-01-A	2041
WND525-02-A_WND525-02-A	12530
WWG938-01-A_WWG938-01-A	1782
XDM758-01-A_XDM758-01-A	670
XGJ172-01-A_XGJ172-01-A	8691
XLG735-01-A_XLG735-01-A	1961
XMP793-01-A_XMP793-01-A	2617
XWG968-01-A_XWG968-01-A	5282
XYJ661-01-A_XYJ661-01-A	4874
XYS886-01-A_XYS886-01-A	2780
YGY967-01-A_YGY967-01-A	2174
ZFS771-01-A_ZFS771-01-A	8661
ZNP700-01-A_ZNP700-01-A	4092
